1.813,-1.313,3.750
1.875,-1.375,3.563
1.875,-1.313,3.750
1.813,-1.063,3.563
1.250,-1.250,3.688
0.938,-1.188,3.625
0.938,-1.188,3.375
1.000,-1.438,2.438
0.188,-2.250,2.250
0.500,-2.625,4.313
-0.250,-2.813,4.563
-0.563,-3.000,1.688
-4.063,-2.875,4.000
-1.125,-2.313,3.688
-1.000,-1.875,3.688
-0.938,-1.500,3.313
-0.688,-1.563,3.688
-0.438,-1.625,3.438
-0.500,-1.875,2.813
-0.375,-2.500,2.875
-0.438,-2.688,3.188
